file_name,topo1,topo2,topo3,topo4,address,yandex_map,address_short
kovrov,Ковров,в Коврове,по Коврову,Коврова,"Ковров, улица Строителей, дом 18А",3A07c5fbf7dfa2445a214999dc6358997e909f2b03e31f0a56d28abb72f962b9f7,"улица Строителей, дом 18А"
murom,Муром,в Муроме,по Мурому,Мурома,"Муром, улица Куликова, дом 7А",3A45c541a8a55f50bf3d938037f1dfce6cf3379f20be217f780a0f3643ade841bc,"улица Куликова, дом 7А"
aleksandrov,Александров,в Александрове,по Александрову,Александрова,"Александров, улица Ленина, дом 13",3Af9850e0b290e141170809531ac0ec386dc7dcce8f91bb26ab50decd7fe7566e7,"улица Ленина, дом 13"
gus-khrustalnyy,Гусь-Хрустальный,в Гусь-Хрустальном,по Гусь-Хрустальному,Гусь-Хрустального,"Гусь-Хрустальный, улица Революции, дом 4",3Aa13d14a06d349ea74999a9fead1754b29fa8cf387435e6b35e45d2f026141d15,"улица Революции, дом 4"
mikhaylovka,Михайловка,в Михайловке,по Михайловке,Михайловки,"Михайловка, Республиканская улица, дом 39",3A84638d65c16be2da1fba1ccac262fde7cb0bb1a49e1a36fa0f0306e5496edc52,"Республиканская улица, дом 39"
uryupinsk,Урюпинск,в Урюпинске,по Урюпинску,Урюпинска,"Урюпинск, улица Лизы Чайкиной, дом 2А",3A1a06746f5094ce9110ec0f717bdc95939d72f0c5dfddfe7b7c13d9dc5304a78b,"улица Лизы Чайкиной, дом 2А"
novovoronezh,Нововоронеж,в Нововоронеже,по Нововоронежу,Нововоронежа,"Нововоронеж, улица Космонавтов, дом 25А",3A4d8a3bbd1fdceb27cb4cf2b48ec89343f4ce1239ca8193cf0d8944f2187df3ca,"улица Космонавтов, дом 25А"
kineshma,Кинешма,в Кинешме,по Кинешме,Кинешмы,"Кинешма, улица имени М.Горького, дом 3",3A6a89938aaf4d62cf20040cc8421eac2714c0eb17e1eb2440c9313c475b1c3960,"улица имени М.Горького, дом 3"
shuya,Шуя,в Шуе,по Шуе,Шуи,"Шуя, улица Мартирия Соловьёва, дом 14",3A45803476e97e317e0ef598a5f78b2893fc53d9fe908bcc9a543bf85f2536be0c,"улица Мартирия Соловьёва, дом 14"
usolye-sibirskoe,Усолье-Сибирское,в Усолье-Сибирском,по Усолью-Сибирскому,Усолья-Сибирского,"Усолье-Сибирское, пр. Ленинский, д. 66",3A3d5a2a64361bc140ecb6d1a8e4a261a566db7eda336dd9719aca6908c11368c2,"пр. Ленинский, д. 66"
shelekhov,Шелехов,в Шелехове,по Шелехову,Шелехова,"Шелехов, квартал 6, дом 30",3A40584ca4fdd1a378675ae1bb7d1be6a6b3f81989344e72a44b0c5eca0fee0cd1,"квартал 6, дом 30"
sayansk,Саянск,в Саянске,по Саянску,Саянска,"Саянск, микрорайон Юбилейный, дом 20",3A2077763ec225b03ab52eaba515d808ec8abe3f2d632ed2320519426df21b99e2,"микрорайон Юбилейный, дом 20"
zima,Зима,в Зиме,по Зиме,Зимы,"Зима, улица Коммунистическая, дом 50",3Ade43ccf6ba367368ae479b0748b6498728e85da6171239f31d7f0056ba72397d,"улица Коммунистическая, дом 50"
nizhneudinsk,Нижнеудинск,в Нижнеудинске,по Нижнеудинску,Нижнеудинска,"Нижнеудинск, улица Масловского, дом 43",3A967ba2031ccd88a2b38796e3259814a8c6c66c3b0c0008d0cd82a5593ecac2db,"улица Масловского, дом 43"
tulun,Тулун,в Тулуне,по Тулуну,Тулуна,"Тулун, улица Ленина, дом 85",3A4ed4f28443b157b00ed87fc2c08cff6532bd26720648440783459f93543334fb,"улица Ленина, дом 85"
tayshet,Тайшет,в Тайшете,по Тайшету,Тайшета,"Тайшет, улица Гагарина, 90",3Aace5bb6c658be1fd43e6cdd818e57bc871802ac05176caf3caa20f142b32a026,"улица Гагарина, 90"
cheremkhovo,Черемхово,в Черемхово,по Черемхово,Черемхово,"Черемхово, улица Первомайская, дом 195",3A52b21bca8ca5a231eac7fc90e6265d02ded7a35eab3fa0ecf27b8d52281e3112,"улица Первомайская, дом 195"
sovetsk,Советск,в Советске,по Советску,Советска,"Советск, улица Революции, дом 1",3A9f181eadbe3191a533b9fc6acc31ae56229e631521e84d72f1ab37ef25bf7bb1,"улица Революции, дом 1"
maloyaroslavets,Малоярославец,в Малоярославце,по Малоярославцу,Малоярославца,"Малоярославец, улица Гагарина, дом 2А",3A3bdda43f3f4c01ee922440826c87cce782a3d655a92a088572b11aa1c29c556e,"улица Гагарина, дом 2А"
leninsk-kuznetsky,Ленинск-Кузнецкий,в Ленинске-Кузнецком,по Ленинску-Кузнецкому,Ленинска-Кузнецкого,"Ленинск-Кузнецкий, проспект Ленина, дом 15А",3A6ac055884db9b8fa0fd0baf798dc5fc4bcb06ea0a999682b28db3088397fd2fa,"проспект Ленина, дом 15А"
kiselevsk,Киселёвск,в Киселёвске,по Киселёвску,Киселёвска,"Киселёвск, улица Томская, дом 20",3A2caf021d3b245d244f5443d04b731e2d49102375f40f98135be572e5a3dea821,"улица Томская, дом 20"
yurga,Юрга,в Юрге,по Юрге,Юрги,"Юрга, проспект Победы, дом 10",3A67027ebca8de698019ed938a0aada96b24a57da427a211825b347e13bfecd675,"проспект Победы, дом 10"
belovo,Белово,в Белово,по Белово,Белово,"Белово, улица Ленина, дом 5",3Ac2b55ee11cef93047ad19fd6a5ffad0ae32d0a0bd718d256d518c392fcbd31e5,"улица Ленина, дом 5"
anzhero-sudzhensk,Анжеро-Судженск,в Анжеро-Судженске,по Анжеро-Судженску,Анжеро-Судженска,"Анжеро-Судженск, улица Ленина, дом 13А",3Abe0500a259ff25e713d9c6e6f210c016e8d46506cfef0a24e69f96e511a3569b,"улица Ленина, дом 13А"
osinniki,Осинники,в Осинниках,по Осинникам,Осинников,"Осинники, улица Ефимова, дом 2/1",3A1558254335fb6113ea66c97b4df4c84054f3715125b03ffae063608aa6a21828,"улица Ефимова, дом 2/1"
myski,Мыски,в Мысках,по Мыскам,Мысков,"Мыски, улица Ноградская, дом 2/1",3A5fa32ea56f43d0ec5b518523703ac573805392f80d01353b4d60ed83e25d34df,"улица Ноградская, дом 2/1"
kirov,Киров,в Кирове,по Кирову,Кирова,"Киров, улица Пролетарская, д. 15",3Af84c96c828c760163e99652d8b2b4dabb6936cc50fdec0f948fbf91ff1cf26fa,"улица Пролетарская, д. 15"
kirovo-chepetsk,Кирово-Чепецк,в Кирово-Чепецке,по Кирово-Чепецку,Кирово-Чепецка,"Кирово-Чепецк, проспект Россия, д. 34",3Ac174829c6469ecf96fe796a06698bcb5d1c4ff43d607e678c5b66eb92ddba9c0,"проспект Россия, д. 34"
slobodskoy,Слободской,в Слободском,по Слободскому,Слободского,"Слободской, улица Рождественская, д. 75",3A8d8ec1586f492b22d040a58726bc176fc67a58bf9979df519569fc41c36beda9,"улица Рождественская, д. 75"
vyatskiye-polyany,Вятские Поляны,в Вятских Полянах,по Вятским Полянам,Вятских Полян,"Вятские Поляны, улица Гагарина, д. 9А",3Af012d052eefeb9918fe77c4bd9aa3f1a909502552bbba679e6ff51c8371790f2,"улица Гагарина, д. 9А"
shadrinsk,Шадринск,в Шадринске,по Шадринску,Шадринска,"Шадринск, улица Комсомольская, д. 17",3Aa53306fad291fbacda0014b358abc3a77e1a624ef867a61fe308dcea00a62832,"улица Комсомольская, д. 17"
sosnovyy-bor,Сосновый Бор,в Сосновом Боре,по Сосновому Бору,Соснового Бора,"Сосновый Бор, улица Солнечная, д. 12",3A22b11939cdb2d37a318f77b9acce64d954d487eecce193ef0710693c8c80a0d6,"улица Солнечная, д. 12"
kudrovo,Кудрово,в Кудрово,по Кудрово,Кудрово,"Кудрово, Европейский проспект, д. 21",3A35d3093fce690593fc8ac7a9a68af61ac8891ede3cae2b9b207b2d4403e47c9e,"Европейский проспект, д. 21"
yelets,Елец,в Ельце,по Ельцу,Ельца,"Елец, улица Радиотехническая, д. 1",3A2907a1dddc195df28af0506ccafb2ab7b5688dd39dfbc32117a454d6fc4a0fcd,"улица Радиотехническая, д. 1"
gryazi,Грязи,в Грязях,по Грязям,Грязей,"Грязи, улица 30 лет Победы, д. 61А",3A46d5c8f234a3d2c890f488f3c6b45d1471c479f23c6cc8b5ef946d63020142e8,"улица 30 лет Победы, д. 61А"
magadan,Магадан,в Магадане,по Магадану,Магадана,"Магадан, улица Дзержинского, д. 19",3A0b9e49ee24f9d89a3da5743b6284e7e62ca2a7eca4189b25601b8c8366a37658,"улица Дзержинского, д. 19"
severomorsk,Североморск,в Североморске,по Североморску,Североморска,"Североморск, улица Советская, д. 22А",3A034d75211d9af042b88b48c32b5b7f9dd104695cfb2407e47c68d1cef284e165,"улица Советская, д. 22А"
sarov,Саров,в Сарове,по Сарову,Сарова,"Саров, улица Московская, д. 5/1",3A35190edc8841faa47249c027541e4d974fca5e94c9aa6ff67d2257c47c0584eb,"улица Московская, д. 5/1"
kstovo,Кстово,в Кстово,по Кстово,Кстово,"Кстово, площадь Ленина, д. 5А",3Ae361d0586274e746435dc1c5f7470398dec7c184386d5d545e9dde252066f599,"площадь Ленина, д. 5А"
pavlovo,Павлово,в Павлово,по Павлово,Павлово,"Павлово, улица Ленина, д. 1",3A4f17df950111355219183878937109660c9f730294c0c8645dcdab689ecfaf5f,"улица Ленина, д. 1"
staraya-russa,Старая Русса,в Старой Руссе,по Старой Руссе,Старой Руссы,"Старая Русса, Гостинодворская улица, д. 43",3A31e4c3a3a1ac890838f819eab7530fee38bd5fd4da86a9d2ba6b9b9f5706e878,"Гостинодворская улица, д. 43"
kuybyshev,Куйбышев,в уйбышеве,по Куйбышеву,Куйбышева,"Куйбышев, 10-й квартал, д. 5",3Ab8ba6314c919e91a358877fdd9215638ba08e6e12bc4ef6c2c702b452ee287a0,"10-й квартал, д. 5"
sol-ilets,Соль-Илецк,в Соль-Илецке,по Соль-Илецку,Соль-Илецка,"Соль-Илецк, Оренбургская улица, д. 14",3A4069d3c8d7932585e13b883e044edad59af64133ea7a151f953faa7e2945c70a,"Оренбургская улица, д. 14"
sorochinsk,Сорочинск,в Сорочинске,по Сорочинску,Сорочинска,"Сорочинск, улица Фурманова, д. 18",3Af946fe735a198a28ad6741005fa193e0d342cc4e57ce428403a24f986ea8b849,"улица Фурманова, д. 18"
novotrotsk,Новотроицк,в Новотроицке,по Новотроицку,Новотроицка,"Новотроицк, улица Советская, д. 81, стр. 17",3A913114ff84fb503ec906bff013ac2ae5ebbb93a6141bb8c1860297b97edbc739,"улица Советская, д. 81, стр. 17"
buguruslan,Бугуруслан,в Бугуруслане,по Бугуруслану,Бугуруслана,"Бугуруслан, Революционная улица, д. 41",3Ad99db2ada1aa60412041e08ce5fa78d576a923deba9286f62e135907d956847d,"Революционная улица, д. 41"
buzuluk,Бузулук,в Бузулуке,по Бузулуку,Бузулука,"Бузулук, улица Ленина, д. 53",3Aac30960a3cd3d0ec474a27d4263cdb2ad362673a2282e06924d81582591196ff,"улица Ленина, д. 53"
livny,Ливны,в Ливнах,по Ливнам,Ливнов,"Ливны, улица Октябрьская, д. 29-Б",3A1a842ec2f9709680c3958f0c7ddb73caee5bbe74687b5fecf9e1fa57b7a70989,"улица Октябрьская, д. 29-Б"
kuznetsk,Кузнецк,в Кузнецке,по Кузнецку,Кузнецка,"Кузнецк, улица Белинского, д. 82Б",3Ab1b1dbd58162581cf4a1ef8de0535b89de3fe814652ac6065e755c7d960085a1,"улица Белинского, д. 82Б"
zarechny,Заречный,в Заречном,по Заречному,Заречного,"Заречный, улица Светлая, д. 25А",3Aead7263cada91fb936c3dd6222549360ae25a1e3d7a925362154b99624a200e2,"улица Светлая, д. 25А"
azov,Азов,в Азове,по Азову,Азова,"Азов, улица Московская, д. 292Б",3A4ca181877cc6097632865ff1059a0139360defba8154551bb37314ff27e076c5,"улица Московская, д. 292Б"
gukovo,Гуково,в Гуково,по Гуково,Гуково,"Гуково, улица Комсомольская, д. 60Б",3A805c1b5b48dff35abbe7a4e1887e50379d8f4343f6adbcec6d61a162e47c71cb,"улица Комсомольская, д. 60Б"
kamensk-shakhtinsky,Каменск-Шахтинский,в Каменске-Шахтинском,по Каменску-Шахтинскому,Каменска-Шахтинского,"Каменск-Шахтинский, переулок Башкевича, д. 95",3Ab7258378b2ff6560f4c40b119106d9e4a2e36b7c661991cfa1219aeb26a68be7,"переулок Башкевича, д. 95"
donetsk,Донецк,в Донецке,по Донецку,Донецка,"Донецк, проспект Ленина, д. 18А",3A83ca1c6ceb9c0871faeb971fc26c9ba228e2bab0db443fce0e3fda9a0d958f52,"проспект Ленина, д. 18А"
chapayevsk,Чапаевск,в Чапаевске,по Чапаевску,Чапаевска,"Чапаевск, Запорожская улица, д. 18А",3Adffafda5f9c669cc44ab1984b2bf89d8241ed07ba427fcad8b9c0949bf137006,"Запорожская улица, д. 18А"
zhigulevsk,Жигулёвск,в Жигулёвске,по Жигулёвску,Жигулёвска,"Жигулёвск, Московское шоссе, д. 18",3A179ae86bf8c4056acac0a6d52ec75aadec15dba058de444ac81153afae5ee6e7,"Московское шоссе, д. 18"
otradny,Отрадный,в Отрадном,по Отрадному,Отрадного,"Отрадный, улица Нефтяников, д. 90",3Ae120b9465bb9726916ac175194e3a36eacf01119063369596cf5579169f14acd,"улица Нефтяников, д. 90"
balashov,Балашов,в Балашове,по Балашову,Балашова,"Балашов, улица 30 лет Победы, д. 156",3Aa7148166a4290e5533081fb7f3535519ca626c97b79cf2f9b0c73935058ccaa7,"улица 30 лет Победы, д. 156"
volsk,Вольск,в Вольске,по Вольску,Вольска,"Вольск, Революционная улица, д. 27",3A06d7b23d1ba7b1dd86d5d3bd6d6140113fcb20ca67c3301af68c7f835af64bf3,"Революционная улица, д. 27"
pugachev,Пугачёв,в Пугачёве,по Пугачёву,Пугачёва,"Пугачёв, улица Максима Горького, д. 21/3",3A9f61b07292d05317a84b2cc1db753ebe0ac224dfc7870ae35ca6fcbab1e0ddfd,"улица Максима Горького, д. 21/3"
rtishchevo,Ртищево,в Ртищево,по Ртищево,Ртищево,"Ртищево, улица Советская, д. 4А",3A7710e1a4f768f71eb7b8e41c31464cd6b017ae753b988071628c7207bd15e686,"улица Советская, д. 4А"
rezh,Реж,в Реже,по Режу,Режа,"Реж, улица Ленина, д. 10",3Aa0fd113707d84bf2d6eb766239421fe53db9fc6dc4ed59cc6ef0307ffd55b4cc,"улица Ленина, д. 10"
sukhoi-log,Сухой Лог,в Сухом Логе,по Сухому Логу,Сухого Лога,"Сухой Лог, улица Белинского, д. 55",3Ac8badd491d17fc8b441c8c5a896f5f1a3dcf633976de04eb6f88d3bc5856b8e1,"улица Белинского, д. 55"
bogdanovich,Богданович,в Богдановиче,по Богдановичу,Богдановича,"Богданович, улица Октябрьская, д. 11А",3Adae14727adccbf54cb0798b0731511db44a5aa49b3f795843e267d627047e990,"улица Октябрьская, д. 11А"
polevskoy,Полевской,в Полевском,по Полевскому,Полевского,"Полевской, микрорайон Зелёный Бор-1, д. 4А",3Aa6fb2b84a52990a7fc842421fd11fe8a9c017efce2c4bcea4301b1fd7c7bb784,"микрорайон Зелёный Бор-1, д. 4А"
revda,Ревда,в Ревде,по Ревде,Ревды,"Ревда, улица Цветников, 39А",3A9520305110c7e8917699a418a46ccae5994b6f68c391ae0eb4ca402454293048,"улица Цветников, 39А"
vyazma,Вязьма,в Вязьме,по Вязьме,Вязьмы,"Вязьма, улица Репина, д. 18",3A406f69ba8325990b33901b2d73f2860b18f831bd505d124e571cfe1acfa69ffc,"улица Репина, д. 18"
safonovo,Сафоново,в Сафоново,по Сафоново,Сафоново,"Сафоново, Октябрьская улица, д. 50",3Aa94696d0e0ac5f9702c39eacbd8e263cc0004367ea9491e694cca4d3b43eba14,"Октябрьская улица, д. 50"
roslavl,Рославль,в Рославле,по Рославлю,Рославля,"Рославль, улица Пролетарская, д. 31",3A22e2ce73496aa4963f6295395d8b523a7dd00bf174fb9654ef0f8022bec9de94,"улица Пролетарская, д. 31"
yartsevo,Ярцево,в Ярцево,по Ярцево,Ярцево,"Ярцево, Советская улица, 13",3A79ccf6fb768742fb786e1a39f5fdbd03ffde563dce616c1b86bc1c0fee18d91e,"Советская улица, 13"
michurinsk,Мичуринск,в Мичуринске,по Мичуринску,Мичуринска,"Мичуринск, улица Лаврова, д. 69/7",3Af5ccdf7e6997e07a79252dd4ce04f42476e3b860509b7c8de7ead638d3a943fa,"улица Лаврова, д. 69/7"
rasskazovo,Рассказово,в Рассказово,по Рассказово,Рассказово,"Рассказово, улица Базарная площадь, д. 3",3A0633b48ba133165bc2bca61cc7b6c4820c5140da8bc140cbf41f48b354100530,"улица Базарная площадь, д. 3"
morshansk,Моршанск,в Моршанске,по Моршанску,Моршанска,"Моршанск, улица Интернациональная, д. 45",3A0855b2ffefeefee746ef029d6437983e0a948f5939e77dd8c234d5c7cfde5ad8,"улица Интернациональная, д. 45"
rzhev,Ржев,в Ржеве,по Ржеву,Ржева,"Ржев, улица 8 Марта, д. 38",3Af718e556541b30f4b38606e65e5b5743aaa949292f735c7fe1ece3fde395c2db,"улица 8 Марта, д. 38"
vyshniy-volochek,Вышний Волочёк,в Вышнем Волочке,по Вышнему Волочку,Вышнего Волочка,"Вышний Волочёк, Казанский проспект, дом 83",3A268d7d8e70654b7994a8dc4391e9bb5dd9e7da3713ade85a218aeb325a66c248,"Казанский проспект, дом 83"
torzhok,Торжок,в Торжке,по Торжку,Торжка,"Торжок, улица Дзержинского, дом 67",3A3631359b634ae33382ab044bf0a612afc5970a48b61bd9fdba31fceeb94863c1,"улица Дзержинского, дом 67"
strezhvoy,Стрежевой,в Стрежевом,по Стрежевому,Стрежевого,"Стрежевой, улица Строителей, дом 49",3Ae7a06dd136493a2d9fe33fe53c46f54418440d4dc449db2033e515416ab24e82,"улица Строителей, дом 49"
shchyokino,Щёкино,в Щёкино,по Щёкино,Щёкино,"Щёкино, улица Советская, дом 2Б",3A3a2eadd446bcd73ff52e1984fc07bc3e1b6c604857fac840c24eecfd75649125,"улица Советская, дом 2Б"
aleksin,Алексин,в Алексине,по Алексину,Алексина,"Алексин, улица Мира, дом 20",3A456ad60c0532dad5139fda81d4022accad26bd7e5bcb8b0dd453443953389a96,"улица Мира, дом 20"
donskoy,Донской,в Донском,по Донскому,Донского,"Донской, Октябрьская улица, дом 77",3Ade240b50e0c44c42017afe22af96d1c386b2f1db087ff2f45685abe8d2a96b75,"Октябрьская улица, дом 77"
uzlovaya,Узловая,в Узловой,по Узловой,Узловой,"Узловая, улица Беклемищева, дом 27",3A1c57b34be4f0e9909d99781263620cd931d5e1518d6b39cdb97cddf2e244f414,"улица Беклемищева, дом 27"
tobolsk,Тобольск,в Тобольске,по Тобольску,Тобольска,"Тобольск, улица Семёна Ремезова, 21",3A96ba5de8bd4d08142dcad9a109e2097e02f51763200428addc445dd3e585e213,"улица Семёна Ремезова, 21"
ishim,Ишим,в Ишиме,по Ишиму,Ишима,"Ишим, улица Карла Маркса, 31",3A75ec3e34a536a497d66c689ff748355a787b981d1b706fe69e58d75ca18316f2,"улица Карла Маркса, 31"
yalutorovsk,Ялуторовск,в Ялуторовске,по Ялуторовску,Ялуторовска,"Ялуторовск, улица Свободы, дом 177",3A487605e4463774ba72cc327d8ae0aa81762ea6da8bb7c678d6deb053c935af6d,"улица Свободы, дом 177"
snezhinsk,Снежинск,в Снежинске,по Снежинску,Снежинска,"Снежинск, улица Академика Забабахина, д. 19",3A9b13e208cf9c2ebc4708cc913c2570613e1e9e607428377760b9d1efa13773a7,"улица Академика Забабахина, д. 19"
satka,Сатка,в Сатке,по Сатке,Сатки,"Сатка, улица Пролетарская, д. 33А",3A410a5c69af55f4e95097c0967c4747e592646bf78c3df63070bdb08aa6ccec71,"улица Пролетарская, д. 33А"
chebarkul,Чебаркуль,в Чебаркуле,по Чебаркулю,Чебаркуля,"Чебаркуль, улица Мира, д. 17а",3Ac59642db9ce3d0f4cb23540f17edaa6bf587c9ad1bf988ccb5c2a020abcf2770,"улица Мира, д. 17а"
rybinsk,Рыбинск,в Рыбинске,по Рыбинску,Рыбинска,"Рыбинск, улица Максима Горького, д. 10",3A5fb30e560be6306e8028a64e2564288cde51a10b29218d2d239b33d849ace07f,"улица Максима Горького, д. 10"
pereslavl-zalesskiy,Переславль-Залесский,в Переславле-Залесском,по Переславлю-Залесскому,Переславля-Залесского,"Переславль-Залесский, улица Ростовская, д. 45",3Aa327ccee4dd718d772381b9e2bc160cc1ae3a20f9da5ad063cb6cd30503edd4c,"улица Ростовская, д. 45"